date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_train,ed_arrivals_test,ed_arrivals_pred
2020-04-18,MHN Boston General,1,5,4,2020,1,train,1.0,,
2020-04-19,MHN Boston General,1,6,4,2020,1,train,1.0,,
2020-04-21,MHN Boston General,1,1,4,2020,0,train,1.0,,
2020-04-24,MHN Boston General,1,4,4,2020,0,train,1.0,,
2020-04-27,MHN Boston General,2,0,4,2020,0,train,2.0,,
2020-04-28,MHN Boston General,1,1,4,2020,0,train,1.0,,
2020-04-29,MHN Boston General,1,2,4,2020,0,train,1.0,,
2020-05-04,MHN Boston General,1,0,5,2020,0,train,1.0,,
2020-05-06,MHN Boston General,1,2,5,2020,0,train,1.0,,
2020-05-07,MHN Boston General,1,3,5,2020,0,train,1.0,,
2020-05-16,MHN Boston General,1,5,5,2020,1,train,1.0,,
2020-05-19,MHN Boston General,2,1,5,2020,0,train,2.0,,
2020-05-20,MHN Boston General,1,2,5,2020,0,train,1.0,,
2020-05-21,MHN Boston General,1,3,5,2020,0,train,1.0,,
2020-05-22,MHN Boston General,1,4,5,2020,0,train,1.0,,
2020-05-23,MHN Boston General,1,5,5,2020,1,train,1.0,,
2020-05-24,MHN Boston General,1,6,5,2020,1,train,1.0,,
2020-06-04,MHN Boston General,1,3,6,2020,0,train,1.0,,
2020-06-06,MHN Boston General,1,5,6,2020,1,train,1.0,,
2020-06-07,MHN Boston General,2,6,6,2020,1,train,2.0,,
2020-06-12,MHN Boston General,1,4,6,2020,0,train,1.0,,
2020-06-13,MHN Boston General,1,5,6,2020,1,train,1.0,,
2020-06-24,MHN Boston General,1,2,6,2020,0,train,1.0,,
2020-07-11,MHN Boston General,1,5,7,2020,1,train,1.0,,
2020-07-14,MHN Boston General,1,1,7,2020,0,train,1.0,,
2020-07-17,MHN Boston General,1,4,7,2020,0,train,1.0,,
2020-07-19,MHN Boston General,1,6,7,2020,1,train,1.0,,
2020-07-23,MHN Boston General,3,3,7,2020,0,train,3.0,,
2020-08-01,MHN Boston General,1,5,8,2020,1,train,1.0,,
2020-08-05,MHN Boston General,1,2,8,2020,0,train,1.0,,
2020-08-06,MHN Boston General,2,3,8,2020,0,train,2.0,,
2020-08-07,MHN Boston General,1,4,8,2020,0,train,1.0,,
2020-08-09,MHN Boston General,1,6,8,2020,1,train,1.0,,
2020-08-10,MHN Boston General,1,0,8,2020,0,train,1.0,,
2020-08-15,MHN Boston General,1,5,8,2020,1,train,1.0,,
2020-08-16,MHN Boston General,1,6,8,2020,1,train,1.0,,
2020-08-20,MHN Boston General,1,3,8,2020,0,train,1.0,,
2020-08-24,MHN Boston General,1,0,8,2020,0,train,1.0,,
2020-08-25,MHN Boston General,1,1,8,2020,0,train,1.0,,
2020-08-29,MHN Boston General,1,5,8,2020,1,train,1.0,,
2020-09-01,MHN Boston General,1,1,9,2020,0,train,1.0,,
2020-09-02,MHN Boston General,2,2,9,2020,0,train,2.0,,
2020-09-03,MHN Boston General,1,3,9,2020,0,train,1.0,,
2020-09-13,MHN Boston General,1,6,9,2020,1,train,1.0,,
2020-09-15,MHN Boston General,2,1,9,2020,0,train,2.0,,
2020-09-17,MHN Boston General,1,3,9,2020,0,train,1.0,,
2020-09-20,MHN Boston General,1,6,9,2020,1,train,1.0,,
2020-09-21,MHN Boston General,1,0,9,2020,0,train,1.0,,
2020-09-24,MHN Boston General,1,3,9,2020,0,train,1.0,,
2020-10-05,MHN Boston General,2,0,10,2020,0,train,2.0,,
2020-10-07,MHN Boston General,1,2,10,2020,0,train,1.0,,
2020-10-09,MHN Boston General,2,4,10,2020,0,train,2.0,,
2020-10-10,MHN Boston General,1,5,10,2020,1,train,1.0,,
2020-10-12,MHN Boston General,1,0,10,2020,0,train,1.0,,
2020-10-21,MHN Boston General,1,2,10,2020,0,train,1.0,,
2020-10-22,MHN Boston General,1,3,10,2020,0,train,1.0,,
2020-10-24,MHN Boston General,1,5,10,2020,1,train,1.0,,
2020-10-25,MHN Boston General,1,6,10,2020,1,train,1.0,,
2020-10-27,MHN Boston General,1,1,10,2020,0,train,1.0,,
2020-10-31,MHN Boston General,2,5,10,2020,1,train,2.0,,
2020-11-02,MHN Boston General,1,0,11,2020,0,train,1.0,,
2020-11-04,MHN Boston General,1,2,11,2020,0,train,1.0,,
2020-11-05,MHN Boston General,2,3,11,2020,0,train,2.0,,
2020-11-08,MHN Boston General,1,6,11,2020,1,train,1.0,,
2020-11-09,MHN Boston General,1,0,11,2020,0,train,1.0,,
2020-11-13,MHN Boston General,1,4,11,2020,0,train,1.0,,
2020-11-14,MHN Boston General,1,5,11,2020,1,train,1.0,,
2020-11-20,MHN Boston General,1,4,11,2020,0,train,1.0,,
2020-11-21,MHN Boston General,1,5,11,2020,1,train,1.0,,
2020-11-22,MHN Boston General,3,6,11,2020,1,train,3.0,,
2020-11-25,MHN Boston General,1,2,11,2020,0,train,1.0,,
2020-12-02,MHN Boston General,1,2,12,2020,0,train,1.0,,
2020-12-05,MHN Boston General,1,5,12,2020,1,train,1.0,,
2020-12-09,MHN Boston General,2,2,12,2020,0,train,2.0,,
2020-12-14,MHN Boston General,1,0,12,2020,0,train,1.0,,
2020-12-15,MHN Boston General,1,1,12,2020,0,train,1.0,,
2020-12-16,MHN Boston General,1,2,12,2020,0,train,1.0,,
2020-12-19,MHN Boston General,2,5,12,2020,1,train,2.0,,
2020-12-23,MHN Boston General,1,2,12,2020,0,train,1.0,,
2020-12-25,MHN Boston General,1,4,12,2020,0,train,1.0,,
2020-12-29,MHN Boston General,1,1,12,2020,0,train,1.0,,
2020-12-31,MHN Boston General,1,3,12,2020,0,train,1.0,,
2021-01-04,MHN Boston General,1,0,1,2021,0,train,1.0,,
2021-01-05,MHN Boston General,1,1,1,2021,0,train,1.0,,
2021-01-06,MHN Boston General,2,2,1,2021,0,train,2.0,,
2021-01-07,MHN Boston General,1,3,1,2021,0,train,1.0,,
2021-01-08,MHN Boston General,1,4,1,2021,0,train,1.0,,
2021-01-09,MHN Boston General,1,5,1,2021,1,train,1.0,,
2021-01-10,MHN Boston General,1,6,1,2021,1,train,1.0,,
2021-01-13,MHN Boston General,1,2,1,2021,0,train,1.0,,
2021-01-17,MHN Boston General,1,6,1,2021,1,train,1.0,,
2021-01-22,MHN Boston General,1,4,1,2021,0,train,1.0,,
2021-01-31,MHN Boston General,1,6,1,2021,1,train,1.0,,
2021-02-03,MHN Boston General,1,2,2,2021,0,train,1.0,,
2021-02-10,MHN Boston General,3,2,2,2021,0,train,3.0,,
2021-02-14,MHN Boston General,2,6,2,2021,1,train,2.0,,
2021-02-15,MHN Boston General,3,0,2,2021,0,train,3.0,,
2021-02-20,MHN Boston General,1,5,2,2021,1,train,1.0,,
2021-02-22,MHN Boston General,1,0,2,2021,0,train,1.0,,
2021-02-24,MHN Boston General,1,2,2,2021,0,train,1.0,,
2021-02-25,MHN Boston General,1,3,2,2021,0,train,1.0,,
2021-02-27,MHN Boston General,1,5,2,2021,1,train,1.0,,
2021-03-01,MHN Boston General,1,0,3,2021,0,train,1.0,,
2021-03-04,MHN Boston General,1,3,3,2021,0,train,1.0,,
2021-03-05,MHN Boston General,1,4,3,2021,0,train,1.0,,
2021-03-07,MHN Boston General,1,6,3,2021,1,train,1.0,,
2021-03-09,MHN Boston General,1,1,3,2021,0,train,1.0,,
2021-03-11,MHN Boston General,2,3,3,2021,0,train,2.0,,
2021-03-16,MHN Boston General,1,1,3,2021,0,train,1.0,,
2021-03-20,MHN Boston General,1,5,3,2021,1,train,1.0,,
2021-03-22,MHN Boston General,1,0,3,2021,0,train,1.0,,
2021-03-23,MHN Boston General,1,1,3,2021,0,train,1.0,,
2021-03-25,MHN Boston General,1,3,3,2021,0,train,1.0,,
2021-03-29,MHN Boston General,2,0,3,2021,0,train,2.0,,
2021-04-01,MHN Boston General,1,3,4,2021,0,train,1.0,,
2021-04-02,MHN Boston General,1,4,4,2021,0,train,1.0,,
2021-04-04,MHN Boston General,1,6,4,2021,1,train,1.0,,
2021-04-08,MHN Boston General,1,3,4,2021,0,train,1.0,,
2021-04-10,MHN Boston General,2,5,4,2021,1,train,2.0,,
2021-04-11,MHN Boston General,1,6,4,2021,1,train,1.0,,
2021-04-12,MHN Boston General,1,0,4,2021,0,train,1.0,,
2021-04-14,MHN Boston General,1,2,4,2021,0,train,1.0,,
2021-04-17,MHN Boston General,1,5,4,2021,1,train,1.0,,
2021-04-21,MHN Boston General,2,2,4,2021,0,train,2.0,,
2021-05-01,MHN Boston General,2,5,5,2021,1,train,2.0,,
2021-05-06,MHN Boston General,1,3,5,2021,0,train,1.0,,
2021-05-07,MHN Boston General,1,4,5,2021,0,train,1.0,,
2021-05-11,MHN Boston General,1,1,5,2021,0,train,1.0,,
2021-05-14,MHN Boston General,1,4,5,2021,0,train,1.0,,
2021-05-15,MHN Boston General,1,5,5,2021,1,train,1.0,,
2021-05-17,MHN Boston General,1,0,5,2021,0,train,1.0,,
2021-05-18,MHN Boston General,1,1,5,2021,0,train,1.0,,
2021-05-19,MHN Boston General,1,2,5,2021,0,train,1.0,,
2021-05-22,MHN Boston General,1,5,5,2021,1,train,1.0,,
2021-05-24,MHN Boston General,1,0,5,2021,0,train,1.0,,
2021-05-28,MHN Boston General,1,4,5,2021,0,train,1.0,,
2021-05-30,MHN Boston General,1,6,5,2021,1,train,1.0,,
2021-06-03,MHN Boston General,1,3,6,2021,0,train,1.0,,
2021-06-06,MHN Boston General,1,6,6,2021,1,train,1.0,,
2021-06-08,MHN Boston General,1,1,6,2021,0,train,1.0,,
2021-06-15,MHN Boston General,2,1,6,2021,0,train,2.0,,
2021-06-20,MHN Boston General,1,6,6,2021,1,train,1.0,,
2021-06-24,MHN Boston General,1,3,6,2021,0,train,1.0,,
2021-06-28,MHN Boston General,1,0,6,2021,0,train,1.0,,
2021-06-29,MHN Boston General,1,1,6,2021,0,train,1.0,,
2021-06-30,MHN Boston General,1,2,6,2021,0,train,1.0,,
2021-07-02,MHN Boston General,1,4,7,2021,0,train,1.0,,
2021-07-03,MHN Boston General,1,5,7,2021,1,train,1.0,,
2021-07-06,MHN Boston General,2,1,7,2021,0,train,2.0,,
2021-07-07,MHN Boston General,1,2,7,2021,0,train,1.0,,
2021-07-11,MHN Boston General,1,6,7,2021,1,train,1.0,,
2021-07-12,MHN Boston General,1,0,7,2021,0,train,1.0,,
2021-07-13,MHN Boston General,1,1,7,2021,0,train,1.0,,
2021-07-23,MHN Boston General,1,4,7,2021,0,train,1.0,,
2021-07-24,MHN Boston General,1,5,7,2021,1,train,1.0,,
2021-07-25,MHN Boston General,1,6,7,2021,1,train,1.0,,
2021-07-26,MHN Boston General,1,0,7,2021,0,train,1.0,,
2021-07-28,MHN Boston General,1,2,7,2021,0,train,1.0,,
2021-07-29,MHN Boston General,1,3,7,2021,0,train,1.0,,
2021-08-05,MHN Boston General,1,3,8,2021,0,train,1.0,,
2021-08-07,MHN Boston General,1,5,8,2021,1,train,1.0,,
2021-08-08,MHN Boston General,1,6,8,2021,1,train,1.0,,
2021-08-13,MHN Boston General,1,4,8,2021,0,train,1.0,,
2021-08-15,MHN Boston General,1,6,8,2021,1,train,1.0,,
2021-08-21,MHN Boston General,1,5,8,2021,1,train,1.0,,
2021-08-22,MHN Boston General,2,6,8,2021,1,train,2.0,,
2021-08-25,MHN Boston General,1,2,8,2021,0,train,1.0,,
2021-08-30,MHN Boston General,2,0,8,2021,0,train,2.0,,
2021-09-02,MHN Boston General,2,3,9,2021,0,train,2.0,,
2021-09-11,MHN Boston General,1,5,9,2021,1,train,1.0,,
2021-09-16,MHN Boston General,1,3,9,2021,0,train,1.0,,
2021-09-27,MHN Boston General,1,0,9,2021,0,train,1.0,,
2021-09-29,MHN Boston General,1,2,9,2021,0,train,1.0,,
2021-09-30,MHN Boston General,1,3,9,2021,0,train,1.0,,
2021-10-03,MHN Boston General,2,6,10,2021,1,train,2.0,,
2021-10-04,MHN Boston General,1,0,10,2021,0,train,1.0,,
2021-10-05,MHN Boston General,1,1,10,2021,0,train,1.0,,
2021-10-10,MHN Boston General,1,6,10,2021,1,train,1.0,,
2021-10-11,MHN Boston General,1,0,10,2021,0,train,1.0,,
2021-10-12,MHN Boston General,1,1,10,2021,0,train,1.0,,
2021-10-14,MHN Boston General,1,3,10,2021,0,train,1.0,,
2021-10-16,MHN Boston General,1,5,10,2021,1,train,1.0,,
2021-10-19,MHN Boston General,1,1,10,2021,0,train,1.0,,
2021-10-27,MHN Boston General,1,2,10,2021,0,train,1.0,,
2021-10-30,MHN Boston General,1,5,10,2021,1,train,1.0,,
2021-11-06,MHN Boston General,1,5,11,2021,1,train,1.0,,
2021-11-10,MHN Boston General,2,2,11,2021,0,train,2.0,,
2021-11-11,MHN Boston General,1,3,11,2021,0,train,1.0,,
2021-11-19,MHN Boston General,2,4,11,2021,0,train,2.0,,
2021-11-20,MHN Boston General,1,5,11,2021,1,train,1.0,,
2021-11-23,MHN Boston General,1,1,11,2021,0,train,1.0,,
2021-11-25,MHN Boston General,1,3,11,2021,0,train,1.0,,
2021-11-28,MHN Boston General,1,6,11,2021,1,train,1.0,,
2021-12-02,MHN Boston General,1,3,12,2021,0,train,1.0,,
2021-12-03,MHN Boston General,1,4,12,2021,0,train,1.0,,
2021-12-10,MHN Boston General,2,4,12,2021,0,train,2.0,,
2021-12-12,MHN Boston General,1,6,12,2021,1,train,1.0,,
2021-12-14,MHN Boston General,2,1,12,2021,0,train,2.0,,
2021-12-15,MHN Boston General,1,2,12,2021,0,train,1.0,,
2021-12-17,MHN Boston General,2,4,12,2021,0,train,2.0,,
2021-12-19,MHN Boston General,2,6,12,2021,1,train,2.0,,
2021-12-21,MHN Boston General,1,1,12,2021,0,train,1.0,,
2021-12-22,MHN Boston General,2,2,12,2021,0,train,2.0,,
2021-12-25,MHN Boston General,1,5,12,2021,1,train,1.0,,
2021-12-27,MHN Boston General,2,0,12,2021,0,train,2.0,,
2021-12-29,MHN Boston General,1,2,12,2021,0,train,1.0,,
2022-01-11,MHN Boston General,1,1,1,2022,0,train,1.0,,
2022-01-13,MHN Boston General,1,3,1,2022,0,train,1.0,,
2022-01-14,MHN Boston General,1,4,1,2022,0,train,1.0,,
2022-01-16,MHN Boston General,1,6,1,2022,1,train,1.0,,
2022-01-20,MHN Boston General,2,3,1,2022,0,train,2.0,,
2022-01-22,MHN Boston General,1,5,1,2022,1,train,1.0,,
2022-01-23,MHN Boston General,1,6,1,2022,1,train,1.0,,
2022-01-24,MHN Boston General,2,0,1,2022,0,train,2.0,,
2022-01-25,MHN Boston General,2,1,1,2022,0,train,2.0,,
2022-01-28,MHN Boston General,1,4,1,2022,0,train,1.0,,
2022-02-08,MHN Boston General,2,1,2,2022,0,train,2.0,,
2022-02-14,MHN Boston General,1,0,2,2022,0,train,1.0,,
2022-02-18,MHN Boston General,1,4,2,2022,0,train,1.0,,
2022-02-21,MHN Boston General,1,0,2,2022,0,train,1.0,,
2022-02-22,MHN Boston General,1,1,2,2022,0,train,1.0,,
2022-02-23,MHN Boston General,1,2,2,2022,0,train,1.0,,
2022-03-03,MHN Boston General,2,3,3,2022,0,train,2.0,,
2022-03-04,MHN Boston General,1,4,3,2022,0,train,1.0,,
2022-03-07,MHN Boston General,1,0,3,2022,0,train,1.0,,
2022-03-09,MHN Boston General,2,2,3,2022,0,train,2.0,,
2022-03-12,MHN Boston General,1,5,3,2022,1,train,1.0,,
2022-03-17,MHN Boston General,1,3,3,2022,0,train,1.0,,
2022-03-20,MHN Boston General,2,6,3,2022,1,train,2.0,,
2022-03-22,MHN Boston General,1,1,3,2022,0,train,1.0,,
2022-03-26,MHN Boston General,2,5,3,2022,1,train,2.0,,
2022-03-28,MHN Boston General,1,0,3,2022,0,train,1.0,,
2022-03-29,MHN Boston General,1,1,3,2022,0,train,1.0,,
2022-03-31,MHN Boston General,2,3,3,2022,0,train,2.0,,
2022-04-04,MHN Boston General,1,0,4,2022,0,train,1.0,,
2022-04-05,MHN Boston General,2,1,4,2022,0,train,2.0,,
2022-04-06,MHN Boston General,2,2,4,2022,0,train,2.0,,
2022-04-07,MHN Boston General,1,3,4,2022,0,train,1.0,,
2022-04-08,MHN Boston General,1,4,4,2022,0,train,1.0,,
2022-04-12,MHN Boston General,2,1,4,2022,0,train,2.0,,
2022-04-15,MHN Boston General,1,4,4,2022,0,train,1.0,,
2022-04-16,MHN Boston General,1,5,4,2022,1,train,1.0,,
2022-04-21,MHN Boston General,1,3,4,2022,0,train,1.0,,
2022-04-26,MHN Boston General,1,1,4,2022,0,train,1.0,,
2022-04-27,MHN Boston General,1,2,4,2022,0,train,1.0,,
2022-04-29,MHN Boston General,2,4,4,2022,0,train,2.0,,
2022-04-30,MHN Boston General,1,5,4,2022,1,train,1.0,,
2022-05-02,MHN Boston General,1,0,5,2022,0,train,1.0,,
2022-05-05,MHN Boston General,1,3,5,2022,0,train,1.0,,
2022-05-07,MHN Boston General,1,5,5,2022,1,train,1.0,,
2022-05-14,MHN Boston General,2,5,5,2022,1,train,2.0,,
2022-05-15,MHN Boston General,1,6,5,2022,1,train,1.0,,
2022-05-17,MHN Boston General,2,1,5,2022,0,train,2.0,,
2022-05-24,MHN Boston General,1,1,5,2022,0,train,1.0,,
2022-05-25,MHN Boston General,1,2,5,2022,0,train,1.0,,
2022-05-27,MHN Boston General,1,4,5,2022,0,train,1.0,,
2022-05-31,MHN Boston General,1,1,5,2022,0,train,1.0,,
2022-06-07,MHN Boston General,1,1,6,2022,0,train,1.0,,
2022-06-08,MHN Boston General,1,2,6,2022,0,train,1.0,,
2022-06-09,MHN Boston General,1,3,6,2022,0,train,1.0,,
2022-06-10,MHN Boston General,2,4,6,2022,0,train,2.0,,
2022-06-12,MHN Boston General,1,6,6,2022,1,train,1.0,,
2022-06-15,MHN Boston General,1,2,6,2022,0,train,1.0,,
2022-06-16,MHN Boston General,1,3,6,2022,0,train,1.0,,
2022-06-24,MHN Boston General,1,4,6,2022,0,train,1.0,,
2022-06-27,MHN Boston General,2,0,6,2022,0,train,2.0,,
2022-07-01,MHN Boston General,1,4,7,2022,0,train,1.0,,
2022-07-02,MHN Boston General,2,5,7,2022,1,train,2.0,,
2022-07-04,MHN Boston General,1,0,7,2022,0,train,1.0,,
2022-07-09,MHN Boston General,3,5,7,2022,1,train,3.0,,
2022-07-11,MHN Boston General,1,0,7,2022,0,train,1.0,,
2022-07-12,MHN Boston General,2,1,7,2022,0,train,2.0,,
2022-07-16,MHN Boston General,2,5,7,2022,1,train,2.0,,
2022-07-19,MHN Boston General,2,1,7,2022,0,train,2.0,,
2022-07-22,MHN Boston General,1,4,7,2022,0,train,1.0,,
2022-07-25,MHN Boston General,1,0,7,2022,0,train,1.0,,
2022-07-27,MHN Boston General,2,2,7,2022,0,train,2.0,,
2022-07-31,MHN Boston General,1,6,7,2022,1,train,1.0,,
2022-08-06,MHN Boston General,1,5,8,2022,1,train,1.0,,
2022-08-10,MHN Boston General,1,2,8,2022,0,train,1.0,,
2022-08-12,MHN Boston General,2,4,8,2022,0,train,2.0,,
2022-08-14,MHN Boston General,1,6,8,2022,1,train,1.0,,
2022-08-17,MHN Boston General,1,2,8,2022,0,train,1.0,,
2022-08-18,MHN Boston General,1,3,8,2022,0,train,1.0,,
2022-08-21,MHN Boston General,1,6,8,2022,1,train,1.0,,
2022-08-23,MHN Boston General,2,1,8,2022,0,train,2.0,,
2022-08-27,MHN Boston General,2,5,8,2022,1,train,2.0,,
2022-08-31,MHN Boston General,1,2,8,2022,0,train,1.0,,
2022-09-09,MHN Boston General,1,4,9,2022,0,train,1.0,,
2022-09-11,MHN Boston General,1,6,9,2022,1,train,1.0,,
2022-09-14,MHN Boston General,1,2,9,2022,0,train,1.0,,
2022-09-19,MHN Boston General,2,0,9,2022,0,train,2.0,,
2022-09-21,MHN Boston General,1,2,9,2022,0,train,1.0,,
2022-09-23,MHN Boston General,2,4,9,2022,0,train,2.0,,
2022-09-25,MHN Boston General,3,6,9,2022,1,train,3.0,,
2022-09-27,MHN Boston General,2,1,9,2022,0,train,2.0,,
2022-10-02,MHN Boston General,1,6,10,2022,1,train,1.0,,
2022-10-04,MHN Boston General,1,1,10,2022,0,train,1.0,,
2022-10-11,MHN Boston General,1,1,10,2022,0,train,1.0,,
2022-10-19,MHN Boston General,1,2,10,2022,0,train,1.0,,
2022-10-20,MHN Boston General,1,3,10,2022,0,train,1.0,,
2022-10-21,MHN Boston General,1,4,10,2022,0,train,1.0,,
2022-10-26,MHN Boston General,1,2,10,2022,0,train,1.0,,
2022-10-29,MHN Boston General,1,5,10,2022,1,train,1.0,,
2022-11-02,MHN Boston General,1,2,11,2022,0,train,1.0,,
2022-11-07,MHN Boston General,2,0,11,2022,0,train,2.0,,
2022-11-10,MHN Boston General,1,3,11,2022,0,train,1.0,,
2022-11-22,MHN Boston General,2,1,11,2022,0,train,2.0,,
2022-11-24,MHN Boston General,2,3,11,2022,0,train,2.0,,
2022-12-04,MHN Boston General,1,6,12,2022,1,train,1.0,,
2022-12-05,MHN Boston General,1,0,12,2022,0,train,1.0,,
2022-12-08,MHN Boston General,1,3,12,2022,0,train,1.0,,
2022-12-10,MHN Boston General,1,5,12,2022,1,train,1.0,,
2022-12-11,MHN Boston General,1,6,12,2022,1,train,1.0,,
2022-12-12,MHN Boston General,1,0,12,2022,0,train,1.0,,
2022-12-16,MHN Boston General,1,4,12,2022,0,train,1.0,,
2022-12-17,MHN Boston General,1,5,12,2022,1,train,1.0,,
2022-12-19,MHN Boston General,2,0,12,2022,0,train,2.0,,
2022-12-21,MHN Boston General,1,2,12,2022,0,train,1.0,,
2022-12-22,MHN Boston General,2,3,12,2022,0,train,2.0,,
2022-12-24,MHN Boston General,1,5,12,2022,1,train,1.0,,
2022-12-25,MHN Boston General,1,6,12,2022,1,train,1.0,,
2022-12-27,MHN Boston General,1,1,12,2022,0,train,1.0,,
2022-12-30,MHN Boston General,1,4,12,2022,0,train,1.0,,
2022-12-31,MHN Boston General,1,5,12,2022,1,train,1.0,,
2023-01-04,MHN Boston General,1,2,1,2023,0,train,1.0,,
2023-01-05,MHN Boston General,1,3,1,2023,0,train,1.0,,
2023-01-07,MHN Boston General,1,5,1,2023,1,train,1.0,,
2023-01-09,MHN Boston General,1,0,1,2023,0,train,1.0,,
2023-01-11,MHN Boston General,1,2,1,2023,0,train,1.0,,
2023-01-14,MHN Boston General,1,5,1,2023,1,train,1.0,,
2023-01-18,MHN Boston General,1,2,1,2023,0,train,1.0,,
2023-01-19,MHN Boston General,1,3,1,2023,0,train,1.0,,
2023-01-21,MHN Boston General,1,5,1,2023,1,train,1.0,,
2023-01-24,MHN Boston General,1,1,1,2023,0,train,1.0,,
2023-01-26,MHN Boston General,1,3,1,2023,0,train,1.0,,
2023-01-28,MHN Boston General,2,5,1,2023,1,train,2.0,,
2023-01-31,MHN Boston General,1,1,1,2023,0,train,1.0,,
2023-02-07,MHN Boston General,1,1,2,2023,0,train,1.0,,
2023-02-10,MHN Boston General,1,4,2,2023,0,train,1.0,,
2023-02-13,MHN Boston General,2,0,2,2023,0,train,2.0,,
2023-02-15,MHN Boston General,1,2,2,2023,0,train,1.0,,
2023-02-18,MHN Boston General,1,5,2,2023,1,train,1.0,,
2023-02-20,MHN Boston General,1,0,2,2023,0,train,1.0,,
2023-02-22,MHN Boston General,1,2,2,2023,0,train,1.0,,
2023-02-28,MHN Boston General,1,1,2,2023,0,train,1.0,,
2023-03-08,MHN Boston General,1,2,3,2023,0,train,1.0,,
2023-03-09,MHN Boston General,1,3,3,2023,0,train,1.0,,
2023-03-10,MHN Boston General,1,4,3,2023,0,train,1.0,,
2023-03-19,MHN Boston General,1,6,3,2023,1,train,1.0,,
2023-03-22,MHN Boston General,2,2,3,2023,0,train,2.0,,
2023-03-25,MHN Boston General,1,5,3,2023,1,train,1.0,,
2023-04-01,MHN Boston General,2,5,4,2023,1,train,2.0,,
2023-04-03,MHN Boston General,2,0,4,2023,0,train,2.0,,
2023-04-06,MHN Boston General,1,3,4,2023,0,train,1.0,,
2023-04-08,MHN Boston General,2,5,4,2023,1,train,2.0,,
2023-04-09,MHN Boston General,1,6,4,2023,1,train,1.0,,
2023-04-10,MHN Boston General,1,0,4,2023,0,train,1.0,,
2023-04-17,MHN Boston General,1,0,4,2023,0,train,1.0,,
2023-04-20,MHN Boston General,1,3,4,2023,0,train,1.0,,
2023-04-24,MHN Boston General,1,0,4,2023,0,train,1.0,,
2023-04-25,MHN Boston General,2,1,4,2023,0,train,2.0,,
2023-04-28,MHN Boston General,1,4,4,2023,0,train,1.0,,
2023-04-29,MHN Boston General,1,5,4,2023,1,train,1.0,,
2023-04-30,MHN Boston General,1,6,4,2023,1,train,1.0,,
2023-05-07,MHN Boston General,1,6,5,2023,1,train,1.0,,
2023-05-08,MHN Boston General,1,0,5,2023,0,train,1.0,,
2023-05-11,MHN Boston General,1,3,5,2023,0,train,1.0,,
2023-05-12,MHN Boston General,1,4,5,2023,0,train,1.0,,
2023-05-13,MHN Boston General,1,5,5,2023,1,train,1.0,,
2023-05-19,MHN Boston General,1,4,5,2023,0,train,1.0,,
2023-05-21,MHN Boston General,1,6,5,2023,1,train,1.0,,
